# English project - TELECOM Nancy
# Yannick Philippe
# Yann Prono
#


# questions of yann
Listen and complete these lyrics: 'We don't need no education, We don't need no ... control, No dark ... in the classroom'|force / fantasm|thought / sarcasm|some / shadow|thousand / castle|1|youtube,YR5ApYxkU-U,200,225
Who is the drummer of The Beatles?|Mick Jagger|Ringo Starr|Ed Sheeran|Phil Collins|1|http://big.assets.huffingtonpost.com/2beatlesalltogether.gif
Which of these propositions is true in United Kingdom?|It is illegal to place a stamp of the Queen upside down on a letter|It is illegal to stand within 100 yards of the reigning monarch without wearing socks|It is illegal to die in parliament|It is illegal to drive cows down the roadway without the permission of the Commissioner of Police.|3|
Listen and complete: Because it ... him interesting opportunities. Like ... a frame of pornography|affords / splicing|aborts / placing|records / phasing|ford / inserting|0|youtube,ru4glg0RJxA,30,45




#God bless god bless ... ?|america|the queen|the queen|the pims|1|https://www.biography.com/.image/c_fill,cs_srgb,dpr_1.0,g_face,h_300,q_80,w_300/MTE1ODA0OTcxNjIzMzUxODIx/queen-elizabeth-ii-9286165-1-402.jpg
#God bless god bless ... ?|america|the queen|the queen|the pims|3|https://i.ytimg.com/vi/ifcLC_qImaw/hqdefault.jpg

#This is a ... ?|Pale lager|India Pale Ale|Stout|Brown Ale|0|https://lh3.googleusercontent.com/organonarchitecture/R9CqGiMrziI/AAAAAAAAB3w/Gt35g8A3itQ/pc_pilsner_thumb%5B8%5D
#This is a ... ?|Pale lager|India Pale Ale|Stout|Brown Ale|1|http://www.beersmith.com/blog/wp-content/uploads/2009/09/ipa_web.jpg
#This is a ... ?|Pale lager|India Pale Ale|Stout|Brown Ale|2|http://images.wisegeek.com/stout-beer.jpg
#This is a ... ?|Pale lager|India Pale Ale|Stout|Brown Ale|3|https://www.boomchugalug.com/uploaded/thumbnails/nut_case_463_500xauto.jpg

#Name that thing|shell|shield|scale|shelf|1|http://www.boutique-epees.fr/img/cms/ESCUDO-CON-FLOR-DE-LIS-297x450.jpg
#Name that thing|shore|short|sword|swear|2|http://vignette2.wikia.nocookie.net/lotr/images/8/88/2257-Aragorn-Costume-Sword-large.jpg/revision/latest?cb=20150418090815
#Name that thing|mouth|receiver|nozzle|bell|3|https://assets.merriam-webster.com/mw/images/quiz/quiz-games-quizplay-question/bell-2693-803aeb6a39aaf61892123c9b70232933@1x.jpg
#Name that thing|tortellini|fusilli|penne|rigatoni|3|https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Rigatoni.jpg/250px-Rigatoni.jpg
#Name that thing|Stylus|nib|blade|point|1|https://assets.merriam-webster.com/mw/images/quiz/quiz-games-quizplay-question/nib-2774-798b2889f557465a7384cf53838a8b96@1x.jpg
#Name that thing|Straight|trump|flush|cribbage|2|https://thumbs.dreamstime.com/z/straight-flush-poker-13231472.jpg
#Name that thing|hatpin|thimble|threader|tracer|1|https://katymunger.files.wordpress.com/2012/12/thimble.png

#who's this man ?|Charles Spencer Chaplin|winston churchill|abraham lincoln|Ioseb Besarionis dze Jughashvili|1|http://img.timeinc.net/time/photoessays/2008/speeches/speeches_churchill.jpg
#Who lives on 221 bis baker street?|sir Arthur conan doyle|John H. Watson|Sherlock holmes|Hercule Poirot|2|http://www.sherlockology.com/ImageGen.ashx?image=/media/11140/location-221b1.jpg
#What is a "Double Decker"|a taxi|a house|a bus|a hamburger|2|https://7b30cfc4a1b0ada1cdb2-893624c4eafa7bb58a8641a0ccf4ceea.ssl.cf1.rackcdn.com/double-cheeseburger_thumb-m.jpg?mod=636239954109000000
#The United Kingdom is made up of|England, Scotland and Wales|England, Scotland, Wales and Northern Ireland|England and Scotland|England, Scotland, Wales and Ireland|1|
#Whish of these memebers of the Royal family has competed at the Olympics|Prince Charles|Princess Ann|Queen Elizabeth|Prince Philip|1|https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Royal_Coat_of_Arms_of_the_United_Kingdom.svg/langfr-200px-Royal_Coat_of_Arms_of_the_United_Kingdom.svg.png
#A brolly is ___|An umbrella|A cup of tea|A television set|A type of hat|0|
#Whish UK country has bilingual road signs?|Scotland|England|Wales|Northern Ireland|2|https://www.google.fr/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwjE-4b8hvLSAhVENhoKHbvGANAQjBwIBA&url=http%3A%2F%2Fnewsimg.bbc.co.uk%2Fmedia%2Fimages%2F45162000%2Fjpg%2F_45162744_-2.jpg&psig=AFQjCNHD0xra2n4HKUXUQML6wd-fNf9r6A&ust=1490544977145936&cad=rjt
