# English project - TELECOM Nancy
# Yannick Philippe
# Yann Prono
#

########### TEMPLATE of a questions with video
# Question about the video?| answer 1 | answer 2 | answer 3 | answer 4 |index correct|youtube,videoId,startAt(seconds),endAt(seconds)

########### TEMPLATE of a simple question
# Question?| answer 1 | answer 2 | answer 3 | answer 4 |index correct|https://pbs.twimg.com/media/Cw4mA0AWIAAcY1w.jpg

# questions of yann
Who is the drummer of The Beatles?|Mick Jagger|Ringo Starr|Ed Sheeran|Phil Collins|1|http://big.assets.huffingtonpost.com/2beatlesalltogether.gif
Complete these lyrics: 'We don't need no education, We don't need no ... control, No dark ... in the classroom'|force / fantasm|thought / sarcasm|some / shadow|thousand / castle|1|youtube,YR5ApYxkU-U,200,225
Which of these propositions is true?|It is illegal to place a stamp of the Queen upside down on a letter|It is illegal to stand within 100 yards of the reigning monarch without wearing socks|It is illegal to die in parliament|It is illegal to drive cows down the roadway without the permission of the Commissioner of Police.|3|


#Name this object?|shell|shield|scale|shelf|1|http://www.boutique-epees.fr/img/cms/ESCUDO-CON-FLOR-DE-LIS-297x450.jpg
#Name this object?|shore|short|sword|swear|2|http://vignette2.wikia.nocookie.net/lotr/images/8/88/2257-Aragorn-Costume-Sword-large.jpg/revision/latest?cb=20150418090815
#God bless god bless ... ?|america|the queen|the queen|the pims|0|http://fscomps.fotosearch.com/compc/CSP/CSP298/k2981096.jpg
#God bless god bless ... ?|america|the queen|the queen|the pims|1|https://www.biography.com/.image/c_fill,cs_srgb,dpr_1.0,g_face,h_300,q_80,w_300/MTE1ODA0OTcxNjIzMzUxODIx/queen-elizabeth-ii-9286165-1-402.jpg
#God bless god bless ... ?|america|the queen|the queen|the pims|2|http://image-api.nrj.fr/http/media.nrj.fr%2F436x327%2F2011%2F03%2Fqueen-greatest-hits-1-remasterise-_4562.jpg?w=1900&h=1200
#God bless god bless ... ?|america|the queen|the queen|the pims|3|https://i.ytimg.com/vi/ifcLC_qImaw/hqdefault.jpg
#This is a ... ?|Pale lager|India Pale Ale|Stout|Brown Ale|0|https://lh3.googleusercontent.com/organonarchitecture/R9CqGiMrziI/AAAAAAAAB3w/Gt35g8A3itQ/pc_pilsner_thumb%5B8%5D
#This is a ... ?|Pale lager|India Pale Ale|Stout|Brown Ale|1|http://www.beersmith.com/blog/wp-content/uploads/2009/09/ipa_web.jpg
#This is a ... ?|Pale lager|India Pale Ale|Stout|Brown Ale|2|http://images.wisegeek.com/stout-beer.jpg
#This is a ... ?|Pale lager|India Pale Ale|Stout|Brown Ale|3|https://www.boomchugalug.com/uploaded/thumbnails/nut_case_463_500xauto.jpg
